time:timestamp,Activity,Resource,case:concept:name,case:variant-index,time_delta,environment,generalization_value,invariant
2012-10-09 14:50:17,Assign seriousness,1,1,12,0.0,1,2000,20
2012-10-25 11:54:26,Resolve ticket,1,1,12,12.869097222222223,1,2000,20
2012-11-09 12:54:39,Closed,3,1,12,15.04181712962963,1,2000,20
2012-10-09 14:51:01,Take in charge ticket,1,1,12,0.0005092592592592592,1,2000,20
2012-10-12 15:02:56,Take in charge ticket,2,1,12,3.008275462962963,1,2000,20
2012-04-03 08:55:38,Assign seriousness,4,2,1,0.0,1,2000,20
2012-04-05 09:15:52,Resolve ticket,4,2,1,2.013877314814815,1,2000,20
2012-05-19 09:00:28,Closed,5,2,1,43.98930555555555,1,2000,20
2012-04-03 08:55:53,Take in charge ticket,4,2,1,0.00017361111111111112,1,2000,20
2010-10-29 10:14:06,Assign seriousness,6,3,1,0.0,1,2500,25
2010-11-30 11:20:18,Closed,5,3,1,26.790983796296295,1,2500,25
2010-11-03 16:16:11,Take in charge ticket,7,3,1,5.2514467592592595,1,2500,25
2010-11-03 16:21:17,Resolve ticket,7,3,1,0.0035416666666666665,1,2500,25
2010-12-15 14:31:53,Assign seriousness,8,4,1,0.0,1,2000,25
2010-12-16 08:08:19,Resolve ticket,2,4,1,0.005,1,2000,25
2011-02-12 14:40:42,Closed,5,4,1,58.27248842592593,1,2000,25
2010-12-16 08:01:07,Take in charge ticket,2,4,1,0.7286342592592593,1,2000,25
2012-04-03 13:08:32,Assign seriousness,9,5,9,0.0,1,2000,20
2012-04-03 13:47:22,Resolve ticket,10,5,9,0.001261574074074074,1,2000,20
2012-05-25 13:10:28,Closed,5,5,9,51.87708333333333,1,2000,20
2012-04-03 14:15:02,Take in charge ticket,10,5,9,0.019212962962962963,1,2000,20
2012-04-03 16:07:28,Resolve ticket,10,5,9,0.0780787037037037,1,2000,20
2012-04-03 13:45:33,Take in charge ticket,10,5,9,0.025706018518518517,1,2000,20
2011-10-25 15:13:58,Assign seriousness,2,6,1,0.0,1,500,5
2011-10-25 15:58:55,Take in charge ticket,2,6,1,0.03121527777777778,1,500,5
2011-10-26 09:54:46,Resolve ticket,2,6,1,0.7471180555555555,1,500,5
2011-12-10 16:20:56,Closed,5,6,1,45.268171296296295,1,500,5
2013-11-06 10:47:35,Assign seriousness,1,7,23,0.0,1,2500,5
2013-11-06 10:48:53,Assign seriousness,1,7,23,0.0009027777777777777,1,2500,5
2013-11-22 08:00:08,Assign seriousness,2,7,23,15.8828125,1,2500,5
2013-12-10 08:57:37,Closed,3,7,23,15.000208333333333,1,2500,5
2013-11-25 08:18:07,Take in charge ticket,11,7,23,3.012488425925926,1,2500,5
2013-11-25 08:57:19,Resolve ticket,11,7,23,0.02722222222222222,1,2500,5
2012-07-05 08:30:32,Assign seriousness,1,8,1,0.0,1,1500,15
2012-07-05 09:44:46,Resolve ticket,6,8,1,0.013206018518518518,1,1500,15
2012-07-05 09:25:45,Take in charge ticket,6,8,1,0.038344907407407404,1,1500,15
2012-09-02 08:40:27,Closed,5,8,1,58.95533564814815,1,1500,15
2010-05-07 13:02:21,Insert ticket,12,9,7,0.0,1,500,5
2010-05-07 13:02:34,Assign seriousness,12,9,7,0.00015046296296296297,1,500,5
2010-05-24 10:26:28,Take in charge ticket,6,9,7,16.891597222222224,1,500,5
2010-05-25 15:35:44,Resolve ticket,12,9,7,1.2147685185185184,1,500,5
2010-06-09 15:35:56,Closed,5,9,7,15.00013888888889,1,500,5
2010-02-10 08:50:20,Assign seriousness,2,10,1,0.0,1,1500,10
