time:timestamp,Activity,Resource,case:concept:name,case:variant-index,environment
2012-10-09 14:50:17,Assign seriousness,1,1,12,1
2012-10-09 14:51:01,Take in charge ticket,1,1,12,1
2012-10-12 15:02:56,Take in charge ticket,2,1,12,1
2012-10-25 11:54:26,Resolve ticket,1,1,12,1
2012-11-09 12:54:39,Closed,3,1,12,1
2012-04-03 08:55:38,Assign seriousness,4,2,1,1
2012-04-03 08:55:53,Take in charge ticket,4,2,1,1
2012-04-05 09:15:52,Resolve ticket,4,2,1,1
2012-05-19 09:00:28,Closed,5,2,1,1
2010-10-29 10:14:06,Assign seriousness,6,3,1,1
2010-11-03 16:16:11,Take in charge ticket,7,3,1,1
2010-11-03 16:21:17,Resolve ticket,7,3,1,1
2010-11-30 11:20:18,Closed,5,3,1,1
2010-12-15 14:31:53,Assign seriousness,8,4,1,1
2010-12-16 08:01:07,Take in charge ticket,2,4,1,1
2010-12-16 08:08:19,Resolve ticket,2,4,1,1
2011-02-12 14:40:42,Closed,5,4,1,1
2012-04-03 13:08:32,Assign seriousness,9,5,9,1
2012-04-03 13:45:33,Take in charge ticket,10,5,9,1
2012-04-03 13:47:22,Resolve ticket,10,5,9,1
2012-04-03 14:15:02,Take in charge ticket,10,5,9,1
2012-04-03 16:07:28,Resolve ticket,10,5,9,1
2012-05-25 13:10:28,Closed,5,5,9,1
2011-10-25 15:13:58,Assign seriousness,2,6,1,1
2011-10-25 15:58:55,Take in charge ticket,2,6,1,1
2011-10-26 09:54:46,Resolve ticket,2,6,1,1
2011-12-10 16:20:56,Closed,5,6,1,1
2013-11-06 10:47:35,Assign seriousness,1,7,23,1
2013-11-06 10:48:53,Assign seriousness,1,7,23,1
2013-11-22 08:00:08,Assign seriousness,2,7,23,1
2013-11-25 08:18:07,Take in charge ticket,11,7,23,1
2013-11-25 08:57:19,Resolve ticket,11,7,23,1
2013-12-10 08:57:37,Closed,3,7,23,1
2012-07-05 08:30:32,Assign seriousness,1,8,1,1
2012-07-05 09:25:45,Take in charge ticket,6,8,1,1
2012-07-05 09:44:46,Resolve ticket,6,8,1,1
2012-09-02 08:40:27,Closed,5,8,1,1
2010-05-07 13:02:21,Insert ticket,12,9,7,1
2010-05-07 13:02:34,Assign seriousness,12,9,7,1
